accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000956.v3.p1","NHLBI TOPMed: Genetics of Cardiometabolic Health in the Amish","The Amish Complex Disease Research Program includes a set of large community-based studies focused largely on cardiometabolic health carried out in the Old Order Amish (OOA) community of Lancaster,  Pennsylvania (http://medschool.umaryland.edu/endocrinology/amish/research-program.asp). The OOA population of Lancaster County, PA immigrated to the","Cardiovascular Diseases","Family/Twin/Trios","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 74 variables, 3 documents, 3 molecular datasets,  SRA, 1123 subjects, 1111 samples","European (1111)","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds)","2018-05-17","2018-05-17","Not Provided"
"phs000957.v1.p1","Geisinger Health System - MyCode, eMERGE III Exome Chip","DNA samples were obtained from participants of the Geisinger MyCode biobank. Phenotype data to determine case or control status for abdominal aortic aneurysm or extreme obesity were derived from  Geisinger electronic medical record data through an enterprise data warehouse. Samples were genotyped using the Illumina Human CoreExome-12 v1.0","Aortic Aneurysm, Abdominal","Case-Control","HumanCoreExome-12v1-0","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 84 variables, 1 molecular datasets, 9212 subjects, 9212 samples","European (9102), African (1), East Asian (11), African American (28), Hispanic1 (18), Hispanic2 (26), Other Asian or Pacific Islander (2), South Asian (13), Other (11)","NHGRI","GRU --- General research use","2015-11-16","2015-11-16","BMI; BMI - Body mass index; BODY MASS INDEX; Index, Body Mass; Index, Quetelet; Quetelet Index"
"phs000958.v1.p1","CSER-MedSeq","Whole genome sequencing (WGS) and whole exome sequencing (WES) services are currently available to and being utilized by physicians and their patients in both research and clinical settings, and  recently to anyone in the general public via direct-to-consumer companies. But the widespread availability and use of WGS and WES in the practice of","Cardiomyopathies","Case-Control","HumanOmni2.5-8v1_A, HumanOmni25-8v1","Not Applicable","SNP Genotypes (Array), WGS","4 phenotype datasets, 22 variables, 3 documents, 2 molecular datasets,  SRA, 100 subjects, 200 samples","","NHGRI","GRU --- General research use","2015-10-21","2015-10-21","Cardiomyopathies, Primary; Cardiomyopathy, Primary; Disease, Primary Myocardial; Diseases, Primary Myocardial; Myocardial Disease, Primary; Myocardial Diseases, Primary"
"phs000963.v1.p1","PGRN-RIKEN:Genetic Determinants of Cardiovascular Events while on Statins","Coronary heart disease (CHD) is an important public health problem in developed countries. Statins are effective in the prevention and treatment of CHD; nevertheless, many patients receiving statins still  suffer cardiovascular events (CV) such as heart attack. Identifying genetic variants responsible for differential clinical responses to statins will","Myocardial Revascularization","Case-Control","HumanOmniExpressExome-8v1-2_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 20 variables, 1 documents, 1 molecular datasets, 5890 subjects, 5890 samples","European (5816), African American (20), Hispanic1 (13), Hispanic2 (26), Other Asian or Pacific Islander (2), South Asian (1), Other (12)","NHLBI","HMB --- Health/medical/biomedical","2016-05-16","2017-05-16","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs000964.v3.p1","NHLBI TOPMed: The Jackson Heart Study","Since there is a greater prevalence of cardiovascular disease among African Americans, the purpose of the Jackson Heart Study (JHS) is to explore the reasons for this disparity and  to uncover new approaches to reduce it. The JHS is a large, community-based, observational study whose 5306 participants were recruited from among","Cardiovascular Diseases","Prospective Longitudinal Cohort","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 25 variables, 3 documents, 3 molecular datasets,  SRA, 3596 subjects, 3406 samples","African (75), East Asian (1), African American (3314), Hispanic1 (15), Other (1)","NHLBI","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2018-05-18","2018-05-18","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; Elevated blood pressure"
"phs000968.v1.p1","The Cardiopulmonary Effects of Particulate Exposure","The study was initially designed as a longitudinal cohort study of cardiovascular effects of particulate exposure. Participants were boilermaker construction workers who were exposed to particulate matter (PM) component  (e.g. a focus on metal constituents) while performing welding, grinding or cutting work in the welding plants. Participants were followed up","Cardiovascular Disease","Prospective Longitudinal Cohort","HumanMethylation450","Not Applicable","Methylation (CpG)","4 phenotype datasets, 22 variables, 1 molecular datasets, 75 subjects, 208 samples","","NIEHS","DS-CVD-NPU --- Health/medical/biomedical (irb)","2015-11-19","2016-05-19","Not Provided"
"phs000971.v1.p1","NHGRI ClinSeq","ClinSeq is a pilot project to investigate the use of whole-genome sequencing as a tool for clinical research. By piloting the acquisition of large amounts of DNA sequence data  from individual human subjects, we are fostering the development of hypothesis-generating approaches for performing research in genomic medicine","Atherosclerosis","Case Set","exome_vcf_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 177 variables, 1 molecular datasets,  SRA, 1001 subjects, 1001 samples","European (736), African (4), East Asian (4), African American (38), Hispanic1 (142), Hispanic2 (9), Other Asian or Pacific Islander (34), South Asian (16), Other (18)","NHGRI","GRU --- General research use","2015-11-09","2016-11-09","Atherogenesis"
"phs000974.v3.p2","NHLBI TOPMed: Whole Genome Sequencing and Related Phenotypes in the    Framingham Heart Study","The Framingham Heart Study (FHS) is a prospective cohort study of 3 generations of subjects who have been followed up to 65 years to evaluate risk factors for cardiovascular  disease. Its large sample of 15,000 men and women who have been extensively phenotyped with repeated examinations make it ideal for the study of","Cardiovascular Diseases","Prospective Longitudinal Cohort","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 13 variables, 2 documents, 3 molecular datasets,  SRA, 4154 subjects, 4166 samples","European (4145), Hispanic1 (2), Hispanic2 (1), Other Asian or Pacific Islander (2), Other (4)","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-05-30","2018-05-30","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000990.v1.p1","MIGen_ExS: University of Lubeck","MI cases were recruited from the German MI Family Study and the Angio-Lub study. Controls were recruited from the German MI Family Study and the Angio-Lub study. All exome  sequencing was performed at the Broad Institute of Harvard and MIT; samples sequence capture was performed using Illumina's ICE Capture reagent and","Myocardial Infarction","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 1766 subjects, 1766 samples","","NHLBI","DS-CVD --- Disease-specific (cardiovascular disease)","2016-05-04","2016-05-04","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs000993.v3.p2","NHLBI TOPMed: Heart and Vascular Health Study (HVH)","Objectives The Heart and Vascular Health Study (HVH) is a case-control study of risk factors for the development of myocardial infarction (MI), stroke, venous thrombosis (VT), and atrial fibrillation  (AF). The study setting is Group Health, an integrated health care delivery system in Washington State. Only VT cases and early-onset AF cases are","Cardiovascular Disease","Case Set","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 14 variables, 2 documents, 3 molecular datasets,  SRA, 709 subjects, 711 samples","European (578), East Asian (5), African American (25), Hispanic1 (3), Hispanic2 (5), Other Asian or Pacific Islander (2), South Asian (1), Other (4)","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, irb, mds)","2019-01-09","2019-01-09","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs000997.v3.p2","NHLBI TOPMed: The Vanderbilt AF Ablation Registry","The Vanderbilt Atrial Fibrillation Ablation Registry (VAFAR) was founded in 2011. Patients with AF referred for AF ablation are prospectively enrolled. A detailed clinical history is recorded, along with  imaging data (cardiac MRI or CT). Blood samples are obtained for DNA extraction at the time of ablation. Details of the ablation procedure are","Atrial Fibrillation","Case Set","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 31 variables, 2 documents, 3 molecular datasets,  SRA, 173 subjects, 173 samples","European (116), Other (1)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb)","2018-05-29","2018-05-29","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001000.v1.p1","MIGen_ExS: U. of Leicester","MI cases were ascertained from two studies: (i) the British Heart Foundation Family Heart Study and (ii) the BRICCS Study. Control subjects were ascertained from the control subjects being  recruited as part of the UK Aneurysm Growth Study (UKAGS). All exome sequencing was performed at the Broad Institute of Harvard and MIT; samples","Myocardial Infarction","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 11 variables, 1 molecular datasets, 2322 subjects, 2322 samples","","NHLBI","DS-CVD-NPU --- Disease-specific (cardiovascular disease, npu) , GRU-NPU --- General research use (npu)","2016-04-12","2016-04-12","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs001012.v1.p1","The Diabetes Heart Study (DHS)","The Diabetes Heart Study is a family based study enriched for type 2 diabetes (T2D). The cohort included 1220 self-reported European Americans from 475 families (Bowden et al 2010  Review of Diabetic Studies 7:188-201: PMID: 21409311; Bowden et al 2008 Annals of Human Genetics 72:598-601 PMID: 18460048) and included siblings","Cardiovascular Diseases","Cross-Sectional","Genome-Wide_Human_SNP_Array_5.0","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 29 variables, 1 analyses, 1 molecular datasets, 1177 subjects, 1177 samples","European (1176), Hispanic1 (1)","NHLBI","DS-DRC-IRB --- Disease-specific (diabetes and related complications, irb)","2016-11-15","2017-11-15","Calcification, Vascular; Calcifications, Vascular; Calcinoses, Vascular; Calcinosis, Vascular; Vascular Calcification; Vascular Calcifications"
"phs001013.v3.p2","Heart and Vascular Health Study (HVH)","Objectives The Heart and Vascular Health Study (HVH) is a case-control study of risk factors for the development of myocardial infarction (MI), stroke, venous thrombosis (VT), and atrial fibrillation  (AF). The study setting is Group Health, an integrated health care delivery system in Washington State. Background The HVH originated in 1988 with","Cardiovascular Disease","Case-Control","HumanOmniExpress-12v1_H, HumanOmniExpressExome-8v1_A, HumanCNV370-Quadv3_C","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 38 variables, 5 documents, 1 molecular datasets, 1204 subjects, 1014 samples","European (943), African (1), East Asian (13), African American (24), Hispanic1 (3), Hispanic2 (12), Other Asian or Pacific Islander (8), South Asian (4), Other (6)","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, irb, mds)","2018-01-16","2018-01-16","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001024.v3.p1","NHLBI TOPMed: Partners HealthCare Biobank","The Atrial Fibrillation Genetics Consortium (AFGen) was organized to identify common and rare genetic variation associated with atrial fibrillation risk. In the current study, we have performed whole genome  sequencing in cases with early-onset atrial fibrillation. Samples in this study were enrolled as a part of the Partners HealthCare Biobank. Cases","Atrial Fibrillation","Case Set","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 32 variables, 2 documents, 3 molecular datasets,  SRA, 128 subjects, 128 samples","European (121), African (1), East Asian (1), African American (3), Hispanic1 (1), Other (1)","NHLBI","HMB --- Health/medical/biomedical","2018-05-18","2018-05-18","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001032.v4.p2","NHLBI TOPMed: The Vanderbilt Atrial Fibrillation Registry","The Vanderbilt Atrial Fibrillation (AF) Registry was founded in 2001. Patients with AF and family members are prospectively enrolled. At enrollment a detailed past medical history is obtained along  with an AF symptom severity assessment. Blood samples are obtained for DNA extraction. Patients are followed longitudinally along with serial","Atrial Fibrillation","Case Set","TOPMed_WGS_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 38 variables, 2 documents, 2 molecular datasets,  SRA, 1134 subjects, 1134 samples","European (962), African (3), East Asian (1), African American (41), Hispanic1 (2), Hispanic2 (5), Other Asian or Pacific Islander (2), South Asian (2)","NHLBI","GRU-IRB --- General research use (irb)","2019-01-09","2019-01-09","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001040.v3.p1","NHLBI TOPMed: Novel Risk Factors for the Development of Atrial    Fibrillation in Women","The Women's Genome Health Study (WGHS) is a prospective cohort comprised of over 25,000 initially healthy female health professionals enrolled in the Women's Health Study, which began in 1992-1994.  All participants in WGHS provided baseline blood samples and extensive survey data. Women who reported atrial fibrillation during the course of the","Atrial Fibrillation","Case Set","TOPMed_WGS_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 61 variables, 2 documents, 2 molecular datasets,  SRA, 118 subjects, 117 samples","European (114), Hispanic2 (1)","NHLBI","HMB --- Health/medical/biomedical","2018-07-19","2018-07-19","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001058.v1.p1","MIGen_ExS: BioImage Study","The BioImage Study (BioImage Study: A Clinical Study of Burden of Atherosclerotic Disease in an At-Risk Population, NCT00738725), is a prospective, observational study aimed at characterizing subclinical atherosclerosis in  U.S. adults (55 to 80 years old) at risk for clinical atherosclerotic cardiovascular disease (PMID: 25790876). All exome sequencing was performed at","Myocardial Infarction","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 503 subjects, 503 samples","","NHLBI","DS-CVD --- Disease-specific (cardiovascular disease)","2016-02-19","2016-02-19","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs001062.v3.p2","NHLBI TOPMed: MGH Atrial Fibrillation Study","The Massachusetts General Hospital (MGH) Atrial Fibrillation Study was initiated in 2001. The study has enrolled serial probands, unaffected and affected family members with atrial fibrillation. At enrollment participants  undergo a structured interview to systematically capture their past medical history, AF treatments, and family history. An electrocardiogram is","Atrial Fibrillation","Case Set","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 16 variables, 2 documents, 3 molecular datasets,  SRA, 999 subjects, 999 samples","European (976), African American (1), Hispanic1 (2), Hispanic2 (4), Other (1)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-05-29","2018-05-29","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001074.v1.p1","GeneSTAR NextGen Functional Genomics of Platelet Aggregation","The causal mechanisms of common diseases and their therapies have been only marginally illuminated by genetic variants identified in genome wide association studies (GWAS) utilizing single nucleotide polymorphism (SNPs).  Platelet activation pathways reflecting hemostasis and thrombosis are the underlying substrate for many cardiovascular diseases and related acute","Platelet Aggregation","Prospective Longitudinal Cohort","MEGA_Consortium, HumanExome-12v1","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 125 variables, 10 documents, 1 molecular datasets, 250 subjects, 440 samples","European (136), African (2), African American (108), Hispanic1 (3), Other (1)","NHLBI","DS-CVD-IRB-NPU-RD --- Disease-specific (cardiovascular disease, irb, npu, rd)","2016-08-23","2016-08-23","Blood Physiological Concept; Blood Physiological Concepts; Blood Physiological Phenomena; Blood Physiological Phenomenas; Blood Physiological Phenomenon; Blood Physiology"
"phs001101.v1.p1","MIGen_ExS: MDC","The Malmo Diet and Cancer Study (MDCS) is a community-based prospective epidemiologic cohort of 28,449 subjects who were recruited for baseline examination between 1991 and 1996. From this cohort,  6103 subjects were randomly selected to participate in a cardiovascular cohort (MDCSCC), which seeks to investigate risk factors for cardiovascular","Myocardial Infarction","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 1081 subjects, 1081 samples","","NHLBI","HMB-MDS --- Health/medical/biomedical (mds)","2016-08-10","2016-08-10","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs001138.v2.p2","GMKF: Kids First Pediatric Research Program in Congenital Heart Disease","The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by  the NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella","Heart Defects, Congenital","Family/Twin/Trios","Not Provided","Not Applicable","WGS","3 phenotype datasets, 10 variables,  SRA, 900 subjects, 890 samples","","NCI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2018-09-14","2018-09-14","Abnormalities, Heart; Abnormality of cardiac morphology; Abnormality of the heart; Abnormality, Heart; Cardiac abnormalities; Cardiac abnormality"
"phs001187.v1.p1","Epigenomics of Human CD8 T cell Differentiation and Aging","The efficacy of the adaptive immune response declines dramatically with age, but the cell-intrinsic mechanisms driving the changes characteristic of immune aging in humans remain poorly understood. One hallmark  of immune aging is the loss of self-renewing naive cells and the accumulation of differentiated but dysfunctional cells within the CD8 T cell","Aging","Case-Control","Not Provided","Not Applicable","ChIP-Seq, RNA-Seq, Tn-Seq","3 phenotype datasets, 16 variables,  SRA, 23 subjects, 75 samples","","NIAID","GRU-IRB --- General research use (irb)","2017-02-16","2017-10-16","Aging, Biological; Biological Aging; Antigens, Differentiation, T Lymphocyte; Antigens, Differentiation, T-Cell; Antigens, Differentiation, T-Lymphocyte; Antigens, T-Cell Differentiation"
"phs001189.v2.p1","NHLBI TOPMed: Cleveland Clinic Atrial Fibrillation (CCAF) Study","The Cleveland Clinic Atrial Fibrillation Study consists of clinical and genetic data of patients with atrial fibrillation and control cohorts from the Cleveland Clinic CV/Arrhythmia Biobank, including the Cleveland  Clinic Lone Atrial Fibrillation GeneBank. The Cleveland Clinic Lone AF GeneBank Study has enrolled patients with lone AF, defined as AF in the","Atrial fibrillation","Case Set","TOPMed_WGS_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 39 variables, 2 documents, 2 molecular datasets,  SRA, 363 subjects, 364 samples","European (359)","NHLBI","GRU-IRB --- General research use (irb)","2019-01-25","2019-01-25","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001203.v1.p1","Stockholm-Tartu Atherosclerosis Reverse Network Engineering Task    (STARNET)","STARNET is a genetics of RNA expression study of multiple disease-relevant tissues obtained from living patients with cardiovascular disease. Tissue samples are obtained from blood, atherosclerotic-lesion-free internal mammary artery  (MAM) and atherosclerotic aortic root (AOR), subcutaneous fat (SF), visceral abdominal fat (VAF), skeletal muscle (SKLM), and liver (LIV) during open","Coronary Artery Disease","Case Set","RNAseq_gene_transcripts","Not Applicable","RNA Seq expression levels","3 phenotype datasets, 9 variables, 1 molecular datasets, 566 subjects, 3577 samples","","NHLBI","HMB --- Health/medical/biomedical","2016-12-14","2016-12-14","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs001211.v2.p2","NHLBI TOPMed: Trans-Omics for Precision Medicine Whole Genome Sequencing    Project: ARIC","Participants from the Atherosclerosis Risk in Communities (ARIC) Study, a large population-based longitudinal cohort study, have been included in this Project and whole genome sequencing will be performed to  contribute to analyses of early-onset atrial fibrillation and venous thromboembolism. Additional phenotype and genotype data are available for these","Cardiovascular Diseases","Case-Control","WGS_markerset_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 18 variables, 2 documents, 2 molecular datasets,  SRA, 13546 subjects, 13550 samples","European (3375), African (14), African American (224), Hispanic1 (3), Hispanic2 (3)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2019-02-14","2019-02-14","Arrhythmia; Arrhythmia, Cardiac; Arrhythmias; Arrhythmias, Cardiac; Arrythmia; Cardiac Arrhythmias"
"phs001218.v1.p1","NHLBI TOPMed: GeneSTAR (Genetic Study of Atherosclerosis Risk)","GeneSTAR began in 1982 as the Johns Hopkins Sibling and Family Heart Study, a prospective longitudinal family-based study conducted originally in healthy adult siblings of people with documented early  onset coronary disease under 60 years of age. Commencing in 2003, the siblings, their offspring, and the coparent of the offspring participated in a","Platelet Aggregation","Prospective Longitudinal Cohort","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 157 variables, 17 documents, 1 molecular datasets,  SRA, 1787 subjects, 1785 samples","European (892), African (8), African American (715), Hispanic1 (10), Other Asian or Pacific Islander (4), Other (7)","NHLBI","DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, irb, npu, mds)","2019-02-27","2019-02-27","Blood Physiological Concept; Blood Physiological Concepts; Blood Physiological Phenomena; Blood Physiological Phenomenas; Blood Physiological Phenomenon; Blood Physiology"
"phs001237.v1.p1","NHLBI TOPMed: Women's Health Initiative (WHI)","This is Whole Genome Sequencing data from the TOPMed participation of the Women's Health Initiative. Approximately 11,100 subjects were involved in this study: approximately 1,100 cases of VTE, 4,000  cases of ischemic stroke, 900 cases of hemorrhagic stroke, and 5,100 controls. Summary level phenotypes for the WHI Cohort study participants can be","Stroke","Prospective Longitudinal Cohort","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 15 variables, 2 documents, 1 molecular datasets,  SRA, 11357 subjects, 11640 samples","European (8223), African (46), East Asian (147), African American (1255), Hispanic1 (78), Hispanic2 (193), Other Asian or Pacific Islander (41), Other (17)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2019-01-17","2019-01-17","Apoplexy; Apoplexy, Cerebrovascular; Brain Vascular Accident; Brain Vascular Accidents; CEREBROVASCULAR ACCIDENT; CVA (Cerebrovascular Accident)"
"phs001325.v1.p1","NextGen Consortium: The iPSCORE (iPSC Collection for Omic Research)    Resource - Whole Genome Sequence","The iPSCORE Resource of human induced pluripotent stem cells (hiPSCs) was created as part of the Next-Gen Consortium funded by the NHLBI. The overarching purpose of the iPSCORE Resource  is to provide a large collection of hiPSCs for use in studying the impact of genetic variation on molecular and physiological phenotypes. This","Heart Diseases","Family/Twin/Trios","WGS_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS)","5 phenotype datasets, 35 variables, 1 molecular datasets,  SRA, 273 subjects, 273 samples","European (187), African (1), East Asian (21), African American (5), Hispanic1 (4), Hispanic2 (12), Other Asian or Pacific Islander (21), South Asian (6), Other (16)","NHLBI","GRU-NPU --- General research use (npu) , DS-CMP-NPU-MDS --- Disease-specific (cardiomyopathy, npu, mds) , DS-CMP-MD-NPU-MDS --- Disease-specific (cardiomyopathy and mitochondrial disease, npu, mds)","2017-06-06","2017-06-06","Human Volunteer; Human Volunteers; Volunteer, Human; Volunteers, Human; Cardiac Disease; Cardiac Diseases"
"phs001341.v1.p1","NextGen Consortium: iPS Derived Hepatocytes Study (PhLiPS Study)","The goal of the PhLiPS study is to create a library of induced pluripotent stem cell (iPSC) lines and iPSC-derived hepatocytes of diverse genotypes for use in metabolic profiling  and interrogating lipid phenotypes. These cell lines were created as a part of the Next Generation Genetic Association Studies (Next Gen) Program","Lipids","Prospective Longitudinal Cohort","HumanCoreExome-24v1-0_A","Not Applicable","SNP Genotypes (Array), RNA-Seq","5 phenotype datasets, 28 variables, 1 molecular datasets, 90 subjects, 264 samples","European (46), African (4), African American (35), Hispanic2 (2), South Asian (2)","NHLBI","GRU --- General research use","2018-05-04","2018-05-04","(3beta)-Cholest-5-en-3-ol; Cholest-5-en-3-ol (3beta)-; Cholesterol, HDL2; HDL cholesterol 2; HDL(2) Cholesterol; HDL2 Cholesterol"
"phs001345.v1.p1","NHLBI TOPMed: Genetic Epidemiology Network of Arteriopathy (GENOA)","The Genetic Epidemiology Network of Arteriopathy (GENOA) is one of four networks in the NHLBI Family-Blood Pressure Program (FBPP). GENOA's long-term objective is to elucidate the genetics of target  organ complications of hypertension, including both atherosclerotic and arteriolosclerotic complications involving the heart, brain, kidneys, and","Hypertension","Family/Twin/Trios","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 16 variables, 2 documents, 1 molecular datasets,  SRA, 1854 subjects, 1266 samples","African (42), African American (1095), Hispanic1 (4), Other (2)","NHLBI","DS-ASC-RF-NPU --- Disease-specific (arteriosclerosis and its risk factors, npu)","","","Aging, Biological; Biological Aging; Arterial Pressure, Mean; Arterial Pressures, Mean; MAP - Mean arterial pressure; MBP - Mean blood pressure"
"phs001359.v1.p1","NHLBI TOPMed: Genetics of Lipid Lowering Drugs and Diet Network (GOLDN)","The GOLDN study was initiated to assess how genetic factors interact with environmental (diet and drug) interventions to influence blood levels of triglycerides and other atherogenic lipid species and  inflammation markers (registered at clinicaltrials.gov, number NCT00083369). The study recruited Caucasian participants primarily from three","Lipids","Prospective Longitudinal Cohort","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 17 variables, 2 documents, 1 molecular datasets,  SRA, 1069 subjects, 1064 samples","European (891), Hispanic1 (3), Other Asian or Pacific Islander (2), Other (2)","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2019-02-14","2019-02-14","Acute Phase Glycoproteins; Acute-Phase Glycoproteins; Glycoproteins, Acute-Phase; ACRP30 Protein; Adipocyte Complement Related Protein 30 kDa; Adipocyte Complement-Related Protein 30-kDa"
"phs001368.v1.p1","NHLBI TOPMed: Cardiovascular Health Study","Participants from the Cardiovascular Health Study (CHS), a large population-based longitudinal cohort study (phs000287), have been included in the TOPMed project. Whole genome sequencing will be performed to contribute  to multiple analyses, including cardiovascular disease risk factors, subclinical disease measures, the occurrence of myocardial infarction (MI) and","Cardiovascular Diseases","Prospective Longitudinal Cohort","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","3 phenotype datasets, 17 variables, 2 documents, 1 molecular datasets,  SRA, 3622 subjects, 3622 samples","European (56), African (2), African American (10), Hispanic1 (1)","NHLBI","HMB-MDS --- Health/medical/biomedical (mds) , HMB-NPU-MDS --- Health/medical/biomedical (npu, mds) , DS-CVD-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2018-06-13","2018-06-13","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
